                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80271,                 1.2996,                 1.3202,                  0.075,                0.81543,                 0.1313,                0.10609,                0.78133,                 26.832,                 1.4651,             0.00040833,             0.00040833,             0.00040833
                      2,                0.85902,                0.89474,                 1.3422,                0.21302,                0.68577,                  0.448,                0.26963,                  1.333,                 12.459,                 2.6813,              0.0008248,              0.0008248,              0.0008248
                      3,                 0.8969,                0.86266,                 1.3627,                0.39086,                0.78789,                0.66101,                0.44387,                 1.0831,                 5.6852,                 2.0203,              0.0012405,              0.0012405,              0.0012405
                      4,                 0.9077,                0.84628,                 1.3886,                0.67261,                0.73756,                0.77384,                0.56419,                 0.9964,                 2.6472,                 1.6193,              0.0012473,              0.0012473,              0.0012473
                      5,                0.85502,                0.75833,                 1.3252,                0.80826,                0.78944,                0.88012,                0.66775,                0.87427,                 1.2495,                 1.2727,              0.0012451,              0.0012451,              0.0012451
                      6,                0.80458,                 0.7154,                 1.2979,                0.97161,                0.98658,                0.99384,                0.83221,                0.68772,                  0.615,                 1.1063,              0.0012424,              0.0012424,              0.0012424
                      7,                0.77107,                0.65909,                 1.2762,                0.92974,                0.96107,                0.98888,                0.87658,                0.48638,                0.68715,                0.97478,               0.001239,               0.001239,               0.001239
                      8,                 0.6993,                0.61302,                 1.2237,                0.92782,                0.96849,                0.97968,                0.83414,                 0.5402,                0.86233,                 1.0208,              0.0012351,              0.0012351,              0.0012351
                      9,                0.70482,                0.58387,                 1.2173,                0.93429,                0.99303,                0.98842,                0.86312,                0.47818,                0.92115,                0.98813,              0.0012306,              0.0012306,              0.0012306
                     10,                0.70194,                0.58032,                 1.2097,                 0.9904,                0.99452,                0.99447,                0.85544,                0.63105,                0.44858,                0.98661,              0.0012254,              0.0012254,              0.0012254
                     11,                0.65766,                0.55217,                 1.1927,                0.97205,                0.97345,                0.98987,                0.85098,                0.60063,                0.48218,                 1.0302,              0.0012197,              0.0012197,              0.0012197
                     12,                0.64544,                 0.5323,                 1.1758,                0.94954,                0.98078,                0.99099,                0.85814,                0.61698,                0.47729,                0.98811,              0.0012134,              0.0012134,              0.0012134
                     13,                0.63773,                 0.5068,                 1.1671,                0.98101,                0.99217,                0.99399,                0.90021,                 0.4579,                0.40342,                0.91647,              0.0012065,              0.0012065,              0.0012065
                     14,                0.62355,                  0.508,                 1.1594,                0.99519,                0.99274,                  0.995,                0.89283,                0.48566,                   0.35,                0.93151,              0.0011991,              0.0011991,              0.0011991
                     15,                0.62897,                0.50609,                 1.1789,                0.98582,                0.99171,                0.99494,                0.90614,                0.44763,                0.32093,                0.91138,              0.0011911,              0.0011911,              0.0011911
                     16,                0.59714,                0.48608,                   1.15,                0.99461,                0.99851,                0.99493,                0.90903,                0.43508,                0.35708,                0.91145,              0.0011826,              0.0011826,              0.0011826
                     17,                0.58981,                0.48603,                 1.1556,                0.99203,                0.99794,                0.99496,                0.91936,                0.40644,                0.31532,                0.89271,              0.0011735,              0.0011735,              0.0011735
                     18,                0.58791,                0.48135,                 1.1409,                0.99146,                0.99845,                 0.9949,                0.88776,                0.51374,                0.34143,                0.92128,              0.0011638,              0.0011638,              0.0011638
                     19,                0.57654,                0.46387,                 1.1344,                0.98597,                0.99701,                0.99497,                0.90643,                0.47159,                0.31903,                0.90081,              0.0011537,              0.0011537,              0.0011537
                     20,                0.57099,                0.46208,                 1.1222,                0.99689,                      1,                  0.995,                0.92558,                0.39721,                 0.3141,                0.88321,               0.001143,               0.001143,               0.001143
                     21,                0.55056,                0.43092,                 1.1164,                0.99059,                0.99687,                0.99496,                0.89726,                0.50203,                0.29752,                 0.9335,              0.0011318,              0.0011318,              0.0011318
                     22,                0.56665,                0.44731,                 1.1249,                0.99864,                      1,                  0.995,                0.92352,                0.42095,                0.27441,                0.89036,              0.0011202,              0.0011202,              0.0011202
                     23,                0.54847,                 0.4304,                 1.1116,                0.98667,                0.99444,                0.99354,                0.90394,                0.47004,                0.29657,                0.92083,               0.001108,               0.001108,               0.001108
                     24,                0.53191,                0.43015,                 1.1045,                 0.9991,                0.99843,                  0.995,                0.95597,                0.33713,                0.23331,                0.85418,              0.0010954,              0.0010954,              0.0010954
                     25,                0.52801,                0.42269,                 1.1129,                0.99817,                      1,                  0.995,                0.94635,                0.35315,                0.23076,                0.85524,              0.0010823,              0.0010823,              0.0010823
                     26,                0.51945,                0.41211,                 1.1033,                0.99546,                0.99849,                0.99498,                0.94982,                0.34114,                0.23778,                 0.8525,              0.0010688,              0.0010688,              0.0010688
                     27,                0.51881,                0.41198,                 1.0911,                0.99329,                      1,                0.99409,                 0.9529,                0.32749,                0.25588,                0.84483,              0.0010548,              0.0010548,              0.0010548
                     28,                0.52786,                 0.4169,                 1.1008,                0.99759,                      1,                0.99498,                0.93008,                0.38578,                0.28607,                0.85961,              0.0010404,              0.0010404,              0.0010404
                     29,                0.50258,                0.39157,                 1.0804,                0.99461,                0.99915,                0.99499,                0.95441,                 0.3373,                0.25384,                0.84814,              0.0010257,              0.0010257,              0.0010257
                     30,                0.50358,                0.39199,                 1.0896,                0.99509,                0.99849,                0.99498,                 0.9467,                0.36828,                0.23904,                0.85656,              0.0010105,              0.0010105,              0.0010105
                     31,                0.49166,                0.38046,                 1.0801,                0.99542,                0.99964,                  0.995,                 0.9673,                0.30641,                0.25701,                0.83611,             0.00099494,             0.00099494,             0.00099494
                     32,                0.50842,                0.38699,                 1.0889,                 0.9991,                      1,                  0.995,                0.94258,                0.38017,                0.24439,                0.85357,             0.00097904,             0.00097904,             0.00097904
                     33,                0.47676,                0.37428,                 1.0653,                0.99583,                0.99842,                  0.995,                0.94406,                0.36384,                0.23436,                0.85594,             0.00096279,             0.00096279,             0.00096279
                     34,                0.48849,                0.38262,                 1.0807,                0.99732,                0.99897,                0.99497,                0.94648,                0.36516,                0.22399,                0.85237,             0.00094622,             0.00094622,             0.00094622
                     35,                0.46435,                0.35777,                 1.0586,                0.99906,                      1,                  0.995,                0.95793,                0.33339,                0.20614,                0.83313,             0.00092934,             0.00092934,             0.00092934
